08/14/23 10:20:14 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (5441) - No such process
08/14/23 10:20:14 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:15 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (5759) - No such process
08/14/23 10:20:15 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (5759) - No such process
08/14/23 10:20:15 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:16 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (6080) - No such process
08/14/23 10:20:16 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (6080) - No such process
08/14/23 10:20:16 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:17 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (6399) - No such process
08/14/23 10:20:17 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (6399) - No such process
08/14/23 10:20:17 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:18 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (6719) - No such process
08/14/23 10:20:18 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (6719) - No such process
08/14/23 10:20:18 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:19 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (7038) - No such process
08/14/23 10:20:19 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (7038) - No such process
08/14/23 10:20:19 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:20 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (7358) - No such process
08/14/23 10:20:20 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (7358) - No such process
08/14/23 10:20:20 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:21 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (7678) - No such process
08/14/23 10:20:21 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (7678) - No such process
08/14/23 10:20:21 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:22 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (7993) - No such process
08/14/23 10:20:22 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (7993) - No such process
08/14/23 10:20:22 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:23 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (8313) - No such process
08/14/23 10:20:23 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (8313) - No such process
08/14/23 10:20:23 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:24 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (8632) - No such process
08/14/23 10:20:24 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (8632) - No such process
08/14/23 10:20:24 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:25 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (8953) - No such process
08/14/23 10:20:25 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (8953) - No such process
08/14/23 10:20:25 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:26 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (9111) - No such process
08/14/23 10:20:26 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (9111) - No such process
08/14/23 10:20:26 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:27 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (9327) - No such process
08/14/23 10:20:27 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (9327) - No such process
08/14/23 10:20:27 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:28 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (9649) - No such process
08/14/23 10:20:28 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (9649) - No such process
08/14/23 10:20:28 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:29 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (9967) - No such process
08/14/23 10:20:29 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (9967) - No such process
08/14/23 10:20:29 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:30 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (10288) - No such process
08/14/23 10:20:30 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (10288) - No such process
08/14/23 10:20:30 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:31 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (10608) - No such process
08/14/23 10:20:31 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (10608) - No such process
08/14/23 10:20:31 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:32 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (10927) - No such process
08/14/23 10:20:32 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (10927) - No such process
08/14/23 10:20:32 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:33 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (11245) - No such process
08/14/23 10:20:33 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (11245) - No such process
08/14/23 10:20:33 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:34 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (11565) - No such process
08/14/23 10:20:34 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (11565) - No such process
08/14/23 10:20:34 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:35 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (11886) - No such process
08/14/23 10:20:35 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (11886) - No such process
08/14/23 10:20:35 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:36 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (12204) - No such process
08/14/23 10:20:36 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (12204) - No such process
08/14/23 10:20:36 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:37 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (12520) - No such process
08/14/23 10:20:37 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (12520) - No such process
08/14/23 10:20:37 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:38 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (12836) - No such process
08/14/23 10:20:38 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (12836) - No such process
08/14/23 10:20:38 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:39 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (13156) - No such process
08/14/23 10:20:39 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (13156) - No such process
08/14/23 10:20:39 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:40 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (13475) - No such process
08/14/23 10:20:40 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (13475) - No such process
08/14/23 10:20:40 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:41 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (13794) - No such process
08/14/23 10:20:41 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (13794) - No such process
08/14/23 10:20:41 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:42 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (14113) - No such process
08/14/23 10:20:42 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (14113) - No such process
08/14/23 10:20:42 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:43 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (14433) - No such process
08/14/23 10:20:43 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (14433) - No such process
08/14/23 10:20:43 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:44 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (14752) - No such process
